Library,Date_First_Used,Total_Files,Category,Label
Desktop,2024-04-25,2,Operating System,System
IPython,2021-07-27,71,Interactive Shell,Development
MeCab,2024-04-24,1,Natural Language Processing,Data Science
NBA_since_2000,2021-11-06,2,Data Analysis,Data Science
PIL,2021-07-20,24,Image Processing,Data Science
PyPDF2,2023-03-28,5,PDF Processing,File Processing
future,2022-05-16,3,Compatibility,Development
altair,2020-01-17,20,Data Visualization,Data Science
apex,2024-04-24,1,Deep Learning,Data Science
ast,2023-05-30,4,Abstract Syntax Trees,Development
base64,2023-04-05,3,Encoding,File Processing
basketball_reference_scraper,2021-09-19,101,Web Scraping,Data Acquisition
basketball_reference_web_scraper,2024-04-25,4,Web Scraping,Data Acquisition
bokeh,2021-07-27,62,Data Visualization,Data Science
boston_valuation,2021-08-15,4,Data Analysis,Data Science
boto3,2023-10-14,12,AWS SDK,Cloud
bs4,2020-08-10,186,Web Scraping,Data Acquisition
calendar,2021-08-24,6,Date and Time,Utilities
camelot,2023-03-30,2,PDF Table Extraction,File Processing
certifi,2022-07-26,6,SSL Certificates,Security
chromedriver_binary,2022-10-30,2,Web Scraping,Data Acquisition
collections,2019-09-07,28,Data Structures,Development
contextlib,2024-04-24,3,Context Managers,Development
copy,2024-04-24,13,Object Copying,Development
country_converter,2023-06-03,2,Country Code Conversion,Data Processing
csv,2019-09-07,22,File Format,File Processing
cufflinks,2021-08-05,18,Data Visualization,Data Science
cv2,2023-03-28,10,Computer Vision,Data Science
dataclasses,2024-04-24,3,Data Classes,Development
dataframe_image,2021-10-30,144,Data Visualization,Data Science
datasets,2023-04-23,3,Datasets,Data Science
datetime,2019-09-08,366,Date and Time,Utilities
decimal,2023-06-03,2,Decimal Arithmetic,Utilities
descartes,2024-04-25,1,Geometry,Data Science
difflib,2024-04-24,2,Sequence Comparison,Utilities
docx,2024-04-13,4,Word Document Processing,File Processing
dtale,2023-07-06,2,Data Visualization,Data Science
enum,2022-05-04,2,Enumerations,Development
evaluate,2024-04-24,1,Model Evaluation,Data Science
faiss,2024-04-17,3,Similarity Search,Data Science
fbprophet,2021-11-17,1,Time Series Forecasting,Data Science
ffn,2021-11-13,1,Financial Functions,Finance
financetoolkit,2023-05-31,2,Financial Analysis,Finance
finnhub,2022-03-12,2,Financial Data,Finance
flask,2021-08-24,32,Web Framework,Web Development
fmp_python,2023-05-31,2,Financial Data,Finance
folium,2023-06-03,2,Maps,Data Visualization
functools,2023-04-28,1,Higher-Order Functions,Development
gc,2023-09-23,5,Garbage Collection,System
geopandas,2023-09-22,2,Geospatial Data Analysis,Data Science
geopy,2023-06-03,2,Geocoding,Data Science
get_planet_data,2024-04-25,1,Data Retrieval,Data Acquisition
get_sample_data,2023-08-15,2,Data Retrieval,Data Acquisition
glob,2019-11-12,255,File Path Matching,File Processing
"glob,",2022-07-26,28,File Path Matching,File Processing
gmplot,2023-06-03,2,Maps,Data Visualization
google,2024-03-28,2,Web Search,Web Services
gzip,2023-04-09,3,Data Compression,File Processing
hangman_words,2024-04-25,2,Word Game,Entertainment
holoviews,2024-04-25,2,Data Visualization,Data Science
html,2024-04-24,1,Web Markup,Web Development
huggingface_hub,2024-04-24,3,Model Sharing,Data Science
hydra,2024-04-24,1,Configuration Management,Development
imp,2023-03-28,4,Module Import,Development
import_ipynb,2021-11-06,2,Jupyter Notebook Import,Development
importlib,2024-04-24,1,Module Import,Development
inspect,2024-04-25,2,Object Introspection,Development
investpy,2023-07-10,4,Financial Data,Finance
io,2023-07-05,11,Input/Output,File Processing
ipadic,2024-04-24,1,Japanese Tokenizer,Data Processing
ipykernel,2023-03-20,1,Jupyter Kernel,Development
ipywidgets,2022-11-08,16,Interactive Widgets,Data Visualization
itables,2023-07-06,2,Interactive Tables,Data Visualization
itertools,2023-03-28,11,Iteration Tools,Development
jieba,2024-04-24,1,Chinese Text Segmentation,Data Processing
joblib,2023-10-28,4,Parallel Computing,Data Science
json,2022-01-22,75,Data Interchange Format,File Processing
keras,2023-04-28,6,Deep Learning,Data Science
label_studio_ml,2024-04-24,1,Data Labeling,Data Science
langchain,2023-09-22,19,Language Models,Data Science
langchain_openai,2024-01-10,9,Language Models,Data Science
librosa,2024-04-24,28,Audio Processing,Data Science
lifelines,2024-04-25,2,Survival Analysis,Data Science
llama_index,2024-01-16,23,Language Models,Data Science
logging,2023-10-14,11,Logging,Development
lxml,2021-10-26,8,XML Processing,File Processing
math,2022-01-19,34,Mathematics,Utilities
matplotlib,2019-09-06,757,Data Visualization,Data Science
missingno,2021-11-01,8,Missing Data Visualization,Data Science
mpl_axes_aligner,2021-09-17,2,Plot Alignment,Data Visualization
mpl_toolkits,2024-04-25,3,Matplotlib Toolkits,Data Visualization
multiprocessing,2024-04-24,2,Parallel Processing,Development
multispeaker_data_analysis,2024-04-24,1,Speech Analysis,Data Science
mysql,2021-09-06,7,Database,Data Storage
nba_api,2021-09-19,4,NBA Data,Data Acquisition
nba_py,2022-05-04,1,NBA Data,Data Acquisition
nemo,2024-04-24,73,Speech Recognition,Data Science
nltk,2021-08-17,8,Natural Language Processing,Data Science
numba,2019-11-20,3,JIT Compilation,Development
numpy,2019-09-07,786,Numerical Computing,Data Science
omegaconf,2024-04-24,54,Configuration Management,Development
onnxruntime,2024-04-24,4,Machine Learning Inference,Data Science
openai,2022-12-21,25,Language Models,Data Science
openpyxl,2024-04-25,8,Excel Processing,File Processing
"openpyxl,",2024-04-25,2,Excel Processing,File Processing
os,2019-11-12,353,Operating System,System
"os,",2024-04-24,3,Operating System,System
pandas,2019-09-06,1192,Data Manipulation,Data Science
pandas_datareader,2019-11-21,50,Financial Data,Finance
pandas_profiling,2021-11-14,11,Data Profiling,Data Science
pathlib,2021-08-24,23,File Path Manipulation,File Processing
patsy,2024-04-25,3,Statistical Modeling,Data Science
pdfplumber,2023-03-30,2,PDF Processing,File Processing
pickle,2022-05-05,15,Object Serialization,File Processing
plotly,2021-08-05,33,Data Visualization,Data Science
pprint,2022-05-04,4,Pretty Printing,Development
prophet,2021-12-31,8,Time Series Forecasting,Data Science
pyaudio,2023-04-04,6,Audio Input/Output,Multimedia
pydot,2024-04-25,1,Graph Visualization,Data Visualization
pydub,2023-04-05,6,Audio Manipulation,Multimedia
pygal,2024-04-25,2,Chart Generation,Data Visualization
pylab,2019-11-05,13,Scientific Computing,Data Science
pymysql,2022-09-24,4,MySQL Database,Data Storage
pyspark,2021-09-02,12,Big Data Processing,Data Science
pytesseract,2022-12-19,8,Optical Character Recognition,Data Processing
pytorch_lightning,2024-04-24,31,Deep Learning,Data Science
pytrends,2024-04-25,2,Google Trends,Data Acquisition
pytube,2023-09-16,6,YouTube Video Download,Multimedia
pytz,2019-11-21,6,Time Zone Handling,Utilities
qgrid,2020-07-21,16,Interactive Dataframes,Data Science
quandl,2022-05-31,12,Financial Data,Finance
quantstats,2022-01-22,2,Portfolio Analysis,Finance
random,2019-10-31,38,Random Number Generation,Utilities
random_walk,2024-04-25,2,Random Walk Simulation,Data Science
